Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
14,Warren Zaïre-Emery,FRA,MFDF,Paris S-G,Ligue 1,19,10.0,898,1.78,68.0,1,13,610,6,94.0,,,12,0,2,1,,1,6,17,13,0.4,,,9,34,78,42,44,,,15,21,10,914,1.6,0.4
15,Mattia Zaccagni,ITA,FW,Lazio,Serie A,30,9.6,860,1.76,63.0,0,10,300,4,79.2,,,15,0,3,3,,3,11,10,22,2.0,,,8,25,24,58,38,,,15,26,2,433,1.1,2.0
16,Illia Zabarnyi,UKR,DF,Paris S-G,Ligue 1,22,10.3,923,1.89,81.0,0,6,673,39,93.6,,,2,1,1,1,,1,8,3,7,0.1,,,1,7,55,9,45,,,13,21,9,988,0.1,0.1
17,Leny Yoro,FRA,DF,Manchester Utd,Premier League,19,7.1,642,1.85,80.0,0,5,244,27,86.4,,,5,1,0,0,,0,11,1,3,0.3,,,2,6,27,3,22,,,11,22,6,440,0.0,0.3
18,Darlin Yongwa,CMR,DF,Lorient,Ligue 1,24,4.8,434,1.77,65.0,0,6,205,11,77.0,,,6,0,0,0,,0,7,4,9,0.2,,,8,18,32,19,18,,,8,15,6,337,0.8,0.2
19,Kenan Yıldız,TUR,MFFW,Juventus,Serie A,20,9.1,823,ND,ND,3,4,316,3,78.1,,,17,1,5,1,,2,3,24,29,1.5,,,16,45,35,68,39,,,7,10,0,495,2.3,2.3
20,Terry Yegbe,GHA,DF,Metz,Ligue 1,24,9.3,841,ND,ND,0,8,384,57,84.3,,,0,3,0,0,,0,11,2,9,0.2,,,0,1,16,1,25,,,9,20,6,640,0.1,0.2
21,Yehor Yarmoliuk,UKR,MF,Brentford,Premier League,21,9.7,869,1.8,72.0,1,23,234,12,80.4,,,5,0,1,0,,0,6,7,11,0.3,,,5,11,32,10,64,,,23,29,16,482,0.3,0.3
22,Lamine Yamal,ESP,FW,Barcelona,La Liga,18,7.0,632,ND,ND,4,2,326,1,76.7,,,9,0,8,3,,4,3,13,17,1.8,,,18,51,32,67,26,,,11,14,8,497,1.8,2.6
23,Granit Xhaka,SUI,MF,Sunderland,Premier League,32,11.0,990,1.85,82.0,3,13,388,42,80.2,,,7,2,4,1,,1,13,16,8,0.4,,,7,7,62,10,50,,,23,36,13,741,1.5,0.4
24,Chris Wood,NZL,FW,Nott'ham Forest,Premier League,33,6.0,540,1.91,82.0,0,1,48,5,66.7,,,2,1,2,2,,2,0,3,11,2.7,,,1,0,7,16,7,,,1,1,1,119,0.2,2.7
25,Nick Woltemade,GER,FW,2 Teams,2 Comps,23,7.8,702,1.87,80.0,0,4,136,9,75.8,,,21,0,4,3,,4,2,5,24,2.2,,,4,5,11,31,14,,,8,10,5,210,0.4,3.0
26,Axel Witsel,BEL,MF,Girona,La Liga,36,8.1,725,1.86,81.0,0,6,282,19,88.5,,,8,0,1,1,,1,6,5,7,0.7,,,1,8,36,10,45,,,12,18,10,454,0.2,0.7
27,Florian Wirtz,GER,MFFW,Liverpool,Premier League,22,7.7,689,1.75,68.0,0,12,250,4,76.5,,,10,1,0,0,,0,3,16,13,1.3,,,13,21,48,53,31,,,11,14,9,444,1.1,1.3
28,Patrick Wimmer,AUT,FW,Wolfsburg,Bundesliga,24,4.9,444,1.82,76.0,1,9,117,8,66.9,,,12,0,1,0,,0,6,3,12,0.6,,,3,7,13,21,17,,,9,15,5,209,0.2,0.6
29,Harry Wilson,WAL,FWMF,Fulham,Premier League,28,7.3,654,1.73,70.0,0,3,171,14,72.6,,,3,0,2,2,,2,3,8,13,1.1,,,4,8,14,50,25,,,12,15,6,288,0.3,1.1
30,Nico Williams,ESP,FW,Athletic Club,La Liga,23,5.9,535,1.8,67.0,1,7,185,2,72.1,,,13,0,3,1,,2,0,9,22,1.0,,,12,29,17,59,26,,,6,6,4,293,1.1,1.8
31,Neco Williams,WAL,DF,Nott'ham Forest,Premier League,24,11.0,990,1.83,76.0,0,15,369,22,77.7,,,9,0,1,1,,1,11,9,17,0.8,,,5,25,49,55,48,,,33,44,22,726,0.6,0.8
